,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
24,banjori,pushdo,kraken,simda,conficker,pykspa,ramnit,tinba,ramdo,rovnix,dircrypt,cryptolocker,corebot,goz,zeus,new_goz,zeus
25,banjori,pushdo,conficker,rovnix,corebot,goz,tinba,pykspa,kraken,new_goz,cryptolocker,simda,dircrypt,ramnit,zeus,ramdo,ramdo
26,ramdo,banjori,kraken,rovnix,pushdo,corebot,simda,new_goz,conficker,tinba,zeus,ramnit,pykspa,dircrypt,cryptolocker,goz,pykspa
27,banjori,ramdo,pushdo,rovnix,kraken,pykspa,conficker,new_goz,dircrypt,ramnit,simda,cryptolocker,goz,tinba,zeus,corebot,corebot
28,banjori,ramdo,kraken,pushdo,rovnix,simda,conficker,pykspa,corebot,ramnit,tinba,dircrypt,new_goz,cryptolocker,zeus,goz,pykspa
29,banjori,pushdo,kraken,pykspa,rovnix,simda,conficker,new_goz,goz,corebot,ramnit,ramdo,dircrypt,tinba,cryptolocker,zeus,banjori
30,banjori,kraken,rovnix,pushdo,ramdo,pykspa,simda,conficker,ramnit,tinba,new_goz,zeus,dircrypt,corebot,cryptolocker,goz,goz
31,corebot,ramnit,conficker,pushdo,zeus,simda,banjori,new_goz,pykspa,cryptolocker,tinba,dircrypt,kraken,ramdo,goz,rovnix,rovnix
32,banjori,pushdo,rovnix,kraken,pykspa,ramdo,simda,conficker,new_goz,dircrypt,tinba,ramnit,corebot,zeus,goz,cryptolocker,ramnit
33,banjori,rovnix,zeus,new_goz,goz,ramdo,dircrypt,cryptolocker,kraken,ramnit,pykspa,conficker,pushdo,corebot,tinba,simda,pushdo
34,zeus,banjori,new_goz,corebot,cryptolocker,ramdo,dircrypt,ramnit,kraken,goz,pykspa,rovnix,conficker,pushdo,tinba,simda,pushdo
35,banjori,rovnix,new_goz,ramdo,zeus,goz,cryptolocker,kraken,pykspa,pushdo,dircrypt,ramnit,conficker,corebot,tinba,simda,simda
36,banjori,ramdo,kraken,pushdo,pykspa,zeus,ramnit,new_goz,conficker,dircrypt,rovnix,cryptolocker,simda,corebot,tinba,goz,cryptolocker
37,banjori,goz,new_goz,pushdo,ramdo,dircrypt,conficker,rovnix,pykspa,ramnit,corebot,cryptolocker,simda,zeus,kraken,tinba,tinba
38,banjori,pushdo,pykspa,rovnix,conficker,kraken,goz,simda,cryptolocker,new_goz,ramnit,tinba,dircrypt,corebot,zeus,ramdo,ramnit
39,zeus,banjori,kraken,cryptolocker,corebot,dircrypt,ramdo,new_goz,conficker,tinba,ramnit,rovnix,goz,pykspa,pushdo,simda,pushdo
40,banjori,ramdo,rovnix,pushdo,kraken,simda,new_goz,pykspa,conficker,dircrypt,ramnit,zeus,tinba,corebot,goz,cryptolocker,cryptolocker
41,banjori,pushdo,rovnix,pykspa,kraken,simda,new_goz,conficker,corebot,goz,tinba,cryptolocker,ramnit,ramdo,dircrypt,zeus,tinba
42,corebot,ramnit,conficker,pushdo,zeus,banjori,simda,cryptolocker,tinba,kraken,pykspa,dircrypt,new_goz,ramdo,goz,rovnix,rovnix
43,banjori,pushdo,rovnix,kraken,pykspa,conficker,simda,new_goz,corebot,tinba,dircrypt,ramdo,ramnit,goz,zeus,cryptolocker,ramnit
44,banjori,rovnix,new_goz,kraken,zeus,cryptolocker,ramdo,pykspa,pushdo,dircrypt,goz,conficker,ramnit,tinba,corebot,simda,kraken
45,banjori,pushdo,simda,rovnix,kraken,ramdo,conficker,pykspa,new_goz,ramnit,tinba,dircrypt,corebot,goz,zeus,cryptolocker,cryptolocker
46,banjori,pushdo,rovnix,kraken,simda,pykspa,new_goz,ramdo,conficker,ramnit,goz,corebot,dircrypt,cryptolocker,zeus,tinba,dircrypt
47,banjori,pushdo,kraken,rovnix,pykspa,simda,conficker,tinba,corebot,ramnit,new_goz,ramdo,cryptolocker,dircrypt,zeus,goz,goz
48,corebot,ramnit,conficker,pushdo,banjori,zeus,kraken,simda,new_goz,pykspa,cryptolocker,dircrypt,tinba,ramdo,goz,rovnix,rovnix
49,banjori,ramdo,kraken,simda,pushdo,pykspa,corebot,ramnit,conficker,zeus,tinba,rovnix,new_goz,dircrypt,cryptolocker,goz,goz
50,corebot,conficker,ramnit,pushdo,banjori,simda,zeus,new_goz,pykspa,tinba,dircrypt,cryptolocker,kraken,ramdo,goz,rovnix,rovnix
51,ramdo,banjori,new_goz,zeus,rovnix,kraken,cryptolocker,dircrypt,pushdo,ramnit,goz,pykspa,corebot,conficker,tinba,simda,pykspa
52,banjori,pushdo,ramdo,kraken,corebot,pykspa,conficker,tinba,simda,new_goz,ramnit,rovnix,zeus,dircrypt,cryptolocker,goz,conficker
53,corebot,cryptolocker,zeus,banjori,new_goz,goz,ramnit,conficker,pushdo,kraken,dircrypt,pykspa,ramdo,tinba,simda,rovnix,banjori
54,banjori,new_goz,zeus,goz,corebot,cryptolocker,pushdo,rovnix,ramnit,conficker,dircrypt,pykspa,kraken,tinba,ramdo,simda,banjori
55,banjori,rovnix,zeus,new_goz,ramdo,dircrypt,kraken,goz,pykspa,cryptolocker,pushdo,ramnit,conficker,corebot,tinba,simda,simda
56,ramdo,kraken,zeus,new_goz,banjori,cryptolocker,ramnit,pykspa,corebot,pushdo,rovnix,dircrypt,conficker,tinba,simda,goz,banjori
57,corebot,ramnit,conficker,zeus,pushdo,cryptolocker,banjori,tinba,new_goz,simda,kraken,dircrypt,pykspa,goz,ramdo,rovnix,rovnix
58,banjori,ramdo,rovnix,new_goz,kraken,pykspa,pushdo,zeus,cryptolocker,ramnit,dircrypt,simda,conficker,corebot,tinba,goz,banjori
59,banjori,corebot,new_goz,pushdo,ramdo,conficker,pykspa,ramnit,cryptolocker,kraken,zeus,dircrypt,goz,tinba,simda,rovnix,cryptolocker
60,banjori,pushdo,kraken,zeus,corebot,new_goz,pykspa,cryptolocker,ramnit,rovnix,tinba,simda,goz,conficker,dircrypt,ramdo,ramdo
61,banjori,rovnix,new_goz,pushdo,pykspa,kraken,cryptolocker,ramdo,zeus,goz,ramnit,dircrypt,conficker,corebot,simda,tinba,tinba
62,banjori,pushdo,goz,corebot,conficker,pykspa,tinba,rovnix,kraken,cryptolocker,ramnit,new_goz,simda,zeus,dircrypt,ramdo,ramdo
63,banjori,pushdo,ramdo,kraken,pykspa,simda,rovnix,new_goz,corebot,conficker,ramnit,tinba,zeus,cryptolocker,dircrypt,goz,dircrypt
64,banjori,rovnix,pushdo,new_goz,kraken,ramdo,zeus,cryptolocker,pykspa,simda,ramnit,goz,corebot,dircrypt,tinba,conficker,conficker
65,banjori,rovnix,pushdo,kraken,pykspa,ramdo,simda,conficker,dircrypt,ramnit,goz,cryptolocker,tinba,new_goz,zeus,corebot,corebot
66,banjori,pushdo,kraken,rovnix,ramdo,simda,conficker,corebot,new_goz,tinba,pykspa,dircrypt,zeus,cryptolocker,ramnit,goz,dircrypt
67,corebot,zeus,new_goz,ramnit,banjori,cryptolocker,dircrypt,conficker,ramdo,kraken,goz,tinba,pykspa,pushdo,simda,rovnix,pushdo
68,banjori,pushdo,simda,kraken,ramdo,corebot,pykspa,rovnix,conficker,ramnit,tinba,new_goz,dircrypt,zeus,cryptolocker,goz,dircrypt
69,new_goz,banjori,pushdo,goz,corebot,conficker,dircrypt,pykspa,rovnix,ramdo,zeus,cryptolocker,ramnit,tinba,simda,kraken,kraken
70,banjori,pushdo,rovnix,new_goz,ramdo,kraken,corebot,conficker,pykspa,zeus,dircrypt,cryptolocker,ramnit,goz,simda,tinba,kraken
71,banjori,corebot,zeus,ramnit,cryptolocker,kraken,new_goz,conficker,pykspa,ramdo,dircrypt,goz,tinba,pushdo,simda,rovnix,pushdo
72,banjori,pushdo,new_goz,goz,kraken,corebot,rovnix,ramnit,cryptolocker,pykspa,zeus,simda,conficker,dircrypt,ramdo,tinba,ramnit
73,banjori,pushdo,pykspa,conficker,rovnix,tinba,corebot,goz,kraken,simda,new_goz,cryptolocker,ramnit,dircrypt,zeus,ramdo,ramdo
74,banjori,pushdo,kraken,rovnix,pykspa,simda,conficker,ramdo,ramnit,dircrypt,tinba,goz,cryptolocker,new_goz,zeus,corebot,corebot
75,banjori,rovnix,ramdo,new_goz,kraken,pushdo,cryptolocker,dircrypt,goz,pykspa,conficker,ramnit,corebot,zeus,simda,tinba,pykspa
76,banjori,pushdo,goz,corebot,conficker,pykspa,tinba,simda,kraken,cryptolocker,rovnix,new_goz,ramnit,dircrypt,zeus,ramdo,ramdo
77,zeus,banjori,ramdo,corebot,new_goz,kraken,cryptolocker,dircrypt,ramnit,conficker,pushdo,pykspa,tinba,goz,rovnix,simda,banjori
78,corebot,ramnit,conficker,banjori,pushdo,zeus,cryptolocker,kraken,pykspa,tinba,dircrypt,goz,simda,new_goz,ramdo,rovnix,rovnix
79,rovnix,banjori,pushdo,ramdo,simda,kraken,pykspa,new_goz,dircrypt,conficker,tinba,zeus,cryptolocker,goz,ramnit,corebot,dircrypt
80,banjori,rovnix,ramdo,new_goz,zeus,pushdo,kraken,pykspa,dircrypt,simda,conficker,cryptolocker,corebot,ramnit,goz,tinba,conficker
81,banjori,ramdo,rovnix,pushdo,simda,kraken,pykspa,new_goz,conficker,dircrypt,ramnit,tinba,zeus,corebot,goz,cryptolocker,cryptolocker
82,banjori,kraken,rovnix,ramdo,pushdo,pykspa,simda,tinba,conficker,ramnit,zeus,cryptolocker,new_goz,dircrypt,corebot,goz,goz
83,banjori,pushdo,kraken,corebot,pykspa,new_goz,simda,conficker,goz,ramnit,zeus,cryptolocker,ramdo,dircrypt,tinba,rovnix,banjori
84,new_goz,zeus,cryptolocker,banjori,rovnix,goz,ramdo,dircrypt,corebot,pykspa,ramnit,conficker,pushdo,kraken,tinba,simda,simda
85,banjori,kraken,pushdo,rovnix,pykspa,simda,conficker,ramdo,ramnit,tinba,dircrypt,cryptolocker,goz,corebot,zeus,new_goz,new_goz
86,banjori,kraken,pushdo,ramdo,rovnix,pykspa,ramnit,corebot,cryptolocker,conficker,zeus,tinba,simda,dircrypt,new_goz,goz,dircrypt
87,banjori,pushdo,kraken,simda,pykspa,conficker,rovnix,tinba,ramdo,ramnit,dircrypt,cryptolocker,goz,corebot,new_goz,zeus,zeus
88,zeus,banjori,cryptolocker,ramdo,kraken,new_goz,ramnit,dircrypt,rovnix,conficker,goz,corebot,pykspa,tinba,pushdo,simda,pushdo
89,banjori,pushdo,rovnix,new_goz,corebot,pykspa,cryptolocker,zeus,goz,tinba,kraken,conficker,simda,ramnit,dircrypt,ramdo,pykspa
90,banjori,pushdo,kraken,simda,conficker,pykspa,rovnix,tinba,ramnit,ramdo,dircrypt,goz,cryptolocker,corebot,new_goz,zeus,new_goz
91,banjori,pushdo,kraken,simda,rovnix,ramdo,pykspa,conficker,tinba,ramnit,dircrypt,corebot,cryptolocker,new_goz,goz,zeus,new_goz
92,banjori,kraken,pushdo,rovnix,pykspa,ramnit,conficker,new_goz,simda,ramdo,cryptolocker,corebot,zeus,goz,dircrypt,tinba,dircrypt
93,banjori,ramdo,pushdo,simda,new_goz,rovnix,kraken,pykspa,corebot,conficker,zeus,dircrypt,tinba,ramnit,cryptolocker,goz,conficker
94,banjori,ramdo,pushdo,kraken,simda,new_goz,conficker,zeus,rovnix,pykspa,corebot,dircrypt,tinba,ramnit,goz,cryptolocker,ramnit
95,banjori,ramdo,pushdo,rovnix,kraken,simda,pykspa,conficker,ramnit,new_goz,dircrypt,tinba,corebot,zeus,cryptolocker,goz,cryptolocker
96,banjori,pushdo,simda,kraken,conficker,pykspa,corebot,rovnix,tinba,ramdo,ramnit,new_goz,dircrypt,zeus,goz,cryptolocker,cryptolocker
97,banjori,pushdo,conficker,kraken,corebot,pykspa,ramdo,rovnix,new_goz,cryptolocker,simda,tinba,ramnit,dircrypt,goz,zeus,conficker
98,banjori,cryptolocker,new_goz,corebot,ramnit,zeus,pushdo,kraken,rovnix,pykspa,ramdo,conficker,dircrypt,goz,tinba,simda,ramnit
99,banjori,rovnix,kraken,pykspa,pushdo,ramdo,conficker,simda,dircrypt,ramnit,tinba,cryptolocker,goz,new_goz,zeus,corebot,corebot
100,banjori,pushdo,kraken,conficker,corebot,ramnit,cryptolocker,pykspa,zeus,ramdo,dircrypt,tinba,rovnix,new_goz,goz,simda,kraken
101,banjori,rovnix,pushdo,new_goz,pykspa,conficker,goz,zeus,kraken,dircrypt,simda,tinba,ramdo,corebot,cryptolocker,ramnit,ramnit
102,banjori,new_goz,corebot,zeus,ramnit,pushdo,cryptolocker,goz,ramdo,conficker,pykspa,dircrypt,kraken,tinba,simda,rovnix,simda
103,banjori,pushdo,new_goz,rovnix,ramdo,kraken,pykspa,simda,conficker,corebot,ramnit,cryptolocker,tinba,zeus,dircrypt,goz,tinba
104,banjori,new_goz,zeus,conficker,corebot,kraken,pushdo,pykspa,ramnit,tinba,dircrypt,ramdo,goz,rovnix,cryptolocker,simda,simda
105,banjori,kraken,pushdo,pykspa,rovnix,simda,conficker,ramdo,tinba,ramnit,dircrypt,cryptolocker,goz,corebot,zeus,new_goz,new_goz
106,banjori,ramdo,rovnix,pushdo,kraken,pykspa,simda,conficker,ramnit,dircrypt,new_goz,zeus,tinba,corebot,cryptolocker,goz,cryptolocker
107,banjori,zeus,new_goz,cryptolocker,rovnix,kraken,corebot,ramdo,pushdo,dircrypt,pykspa,conficker,tinba,goz,ramnit,simda,simda
108,banjori,ramdo,kraken,rovnix,pykspa,pushdo,cryptolocker,conficker,zeus,dircrypt,new_goz,ramnit,tinba,simda,corebot,goz,dircrypt
109,banjori,new_goz,corebot,zeus,ramdo,kraken,pushdo,conficker,pykspa,dircrypt,rovnix,ramnit,tinba,cryptolocker,simda,goz,banjori
110,banjori,kraken,pushdo,rovnix,ramdo,simda,pykspa,conficker,corebot,tinba,new_goz,ramnit,cryptolocker,dircrypt,zeus,goz,kraken
111,new_goz,goz,banjori,pushdo,rovnix,ramdo,pykspa,dircrypt,conficker,zeus,cryptolocker,corebot,simda,ramnit,tinba,kraken,kraken
112,banjori,rovnix,ramdo,pushdo,kraken,simda,pykspa,new_goz,conficker,dircrypt,ramnit,corebot,zeus,tinba,cryptolocker,goz,dircrypt
113,banjori,rovnix,ramdo,kraken,pushdo,pykspa,conficker,simda,tinba,new_goz,dircrypt,ramnit,zeus,corebot,cryptolocker,goz,dircrypt
114,banjori,new_goz,ramdo,zeus,pushdo,pykspa,rovnix,corebot,kraken,conficker,tinba,cryptolocker,dircrypt,ramnit,simda,goz,pykspa
115,banjori,pushdo,rovnix,simda,kraken,pykspa,ramdo,new_goz,conficker,tinba,corebot,ramnit,zeus,dircrypt,goz,cryptolocker,conficker
116,banjori,kraken,pushdo,rovnix,simda,pykspa,conficker,tinba,ramnit,ramdo,dircrypt,cryptolocker,goz,corebot,zeus,new_goz,zeus
117,corebot,banjori,ramnit,zeus,goz,new_goz,conficker,cryptolocker,pushdo,dircrypt,ramdo,kraken,pykspa,tinba,simda,rovnix,banjori
118,new_goz,goz,banjori,pushdo,conficker,corebot,rovnix,pykspa,dircrypt,cryptolocker,ramdo,zeus,ramnit,tinba,simda,kraken,kraken
119,banjori,ramdo,rovnix,pushdo,kraken,new_goz,simda,pykspa,zeus,dircrypt,ramnit,conficker,corebot,cryptolocker,tinba,goz,conficker
120,banjori,rovnix,pushdo,ramdo,kraken,pykspa,new_goz,goz,ramnit,simda,dircrypt,zeus,cryptolocker,conficker,tinba,corebot,pykspa
121,banjori,ramdo,new_goz,rovnix,zeus,cryptolocker,dircrypt,kraken,goz,pykspa,ramnit,conficker,pushdo,corebot,tinba,simda,simda
122,banjori,rovnix,pushdo,new_goz,kraken,ramdo,corebot,zeus,ramnit,conficker,pykspa,dircrypt,simda,goz,cryptolocker,tinba,kraken
123,banjori,pushdo,kraken,ramdo,rovnix,simda,pykspa,corebot,new_goz,conficker,tinba,ramnit,cryptolocker,zeus,dircrypt,goz,pykspa
124,zeus,ramdo,banjori,rovnix,new_goz,kraken,dircrypt,corebot,cryptolocker,tinba,ramnit,pykspa,conficker,goz,simda,pushdo,pushdo
125,banjori,new_goz,zeus,ramdo,cryptolocker,rovnix,dircrypt,goz,ramnit,kraken,pykspa,conficker,corebot,pushdo,tinba,simda,pushdo
126,banjori,ramdo,pushdo,new_goz,kraken,zeus,corebot,rovnix,pykspa,simda,conficker,ramnit,dircrypt,tinba,goz,cryptolocker,dircrypt
127,banjori,pushdo,conficker,simda,kraken,rovnix,pykspa,ramdo,tinba,dircrypt,corebot,new_goz,ramnit,zeus,goz,cryptolocker,cryptolocker
128,banjori,kraken,rovnix,pushdo,pykspa,simda,corebot,cryptolocker,ramnit,new_goz,conficker,ramdo,zeus,tinba,dircrypt,goz,dircrypt
129,banjori,pushdo,goz,corebot,conficker,new_goz,cryptolocker,rovnix,ramnit,pykspa,tinba,kraken,zeus,simda,dircrypt,ramdo,ramdo
130,banjori,corebot,new_goz,pushdo,ramnit,kraken,cryptolocker,zeus,conficker,pykspa,goz,simda,dircrypt,ramdo,tinba,rovnix,banjori
131,banjori,rovnix,pushdo,simda,ramdo,new_goz,pykspa,kraken,conficker,dircrypt,corebot,ramnit,tinba,goz,zeus,cryptolocker,tinba
132,banjori,pushdo,rovnix,ramdo,simda,kraken,pykspa,new_goz,conficker,tinba,dircrypt,ramnit,zeus,corebot,goz,cryptolocker,pykspa
133,kraken,banjori,pushdo,simda,ramdo,pykspa,rovnix,tinba,conficker,corebot,ramnit,new_goz,zeus,dircrypt,cryptolocker,goz,goz
134,banjori,pushdo,rovnix,kraken,simda,pykspa,conficker,ramdo,tinba,dircrypt,ramnit,new_goz,corebot,zeus,goz,cryptolocker,cryptolocker
135,ramdo,banjori,rovnix,kraken,pushdo,pykspa,simda,new_goz,dircrypt,ramnit,conficker,zeus,cryptolocker,tinba,goz,corebot,dircrypt
136,banjori,pushdo,corebot,rovnix,tinba,conficker,kraken,pykspa,simda,cryptolocker,new_goz,goz,ramnit,dircrypt,zeus,ramdo,ramdo
137,banjori,kraken,pushdo,simda,rovnix,pykspa,conficker,ramdo,tinba,ramnit,dircrypt,cryptolocker,corebot,goz,new_goz,zeus,zeus
138,banjori,rovnix,new_goz,goz,zeus,cryptolocker,pushdo,ramdo,kraken,dircrypt,pykspa,corebot,ramnit,simda,conficker,tinba,pykspa
139,banjori,goz,new_goz,rovnix,zeus,corebot,cryptolocker,dircrypt,conficker,ramnit,kraken,tinba,pushdo,pykspa,simda,ramdo,pushdo
140,corebot,ramnit,conficker,zeus,banjori,kraken,pushdo,cryptolocker,pykspa,ramdo,dircrypt,tinba,simda,new_goz,goz,rovnix,rovnix
141,pushdo,banjori,kraken,simda,pykspa,conficker,rovnix,tinba,ramdo,ramnit,dircrypt,cryptolocker,goz,corebot,new_goz,zeus,zeus
142,banjori,ramdo,rovnix,pushdo,new_goz,kraken,pykspa,simda,zeus,ramnit,dircrypt,corebot,conficker,cryptolocker,goz,tinba,ramnit
143,new_goz,banjori,pushdo,goz,corebot,rovnix,ramdo,pykspa,conficker,dircrypt,ramnit,cryptolocker,zeus,simda,tinba,kraken,kraken
144,corebot,ramnit,conficker,pushdo,banjori,zeus,pykspa,ramdo,cryptolocker,kraken,simda,dircrypt,new_goz,tinba,goz,rovnix,rovnix
145,banjori,pushdo,corebot,conficker,tinba,pykspa,goz,cryptolocker,kraken,rovnix,new_goz,ramnit,simda,zeus,dircrypt,ramdo,ramdo
146,banjori,ramdo,pushdo,kraken,simda,rovnix,pykspa,conficker,new_goz,ramnit,tinba,dircrypt,zeus,corebot,cryptolocker,goz,pykspa
147,banjori,rovnix,pushdo,ramdo,new_goz,simda,kraken,pykspa,corebot,conficker,dircrypt,ramnit,zeus,tinba,cryptolocker,goz,tinba
148,banjori,zeus,new_goz,cryptolocker,corebot,conficker,pushdo,ramdo,ramnit,pykspa,kraken,goz,dircrypt,tinba,rovnix,simda,simda
149,banjori,rovnix,ramdo,kraken,pushdo,pykspa,simda,dircrypt,conficker,ramnit,new_goz,tinba,zeus,cryptolocker,goz,corebot,corebot
150,banjori,pushdo,kraken,rovnix,simda,pykspa,conficker,tinba,ramdo,ramnit,dircrypt,cryptolocker,goz,corebot,new_goz,zeus,zeus
151,banjori,pushdo,kraken,pykspa,rovnix,simda,conficker,ramdo,tinba,ramnit,dircrypt,cryptolocker,goz,new_goz,corebot,zeus,new_goz
152,banjori,kraken,pushdo,rovnix,pykspa,simda,conficker,ramdo,ramnit,dircrypt,tinba,cryptolocker,goz,new_goz,corebot,zeus,zeus
153,banjori,zeus,cryptolocker,kraken,new_goz,ramdo,dircrypt,rovnix,ramnit,conficker,pykspa,corebot,tinba,goz,pushdo,simda,simda
154,banjori,pushdo,kraken,rovnix,ramdo,pykspa,conficker,simda,ramnit,dircrypt,cryptolocker,goz,new_goz,tinba,zeus,corebot,corebot
155,banjori,pushdo,goz,corebot,conficker,cryptolocker,rovnix,new_goz,pykspa,tinba,kraken,ramnit,dircrypt,simda,zeus,ramdo,ramdo
156,banjori,zeus,new_goz,corebot,cryptolocker,ramnit,goz,dircrypt,conficker,kraken,ramdo,pykspa,rovnix,pushdo,tinba,simda,simda
157,banjori,pushdo,kraken,simda,pykspa,conficker,rovnix,tinba,corebot,ramnit,new_goz,dircrypt,goz,zeus,cryptolocker,ramdo,ramnit
158,zeus,banjori,ramdo,new_goz,rovnix,dircrypt,cryptolocker,kraken,goz,ramnit,corebot,conficker,pykspa,tinba,pushdo,simda,pushdo
159,banjori,rovnix,kraken,ramdo,pykspa,new_goz,dircrypt,simda,pushdo,cryptolocker,conficker,zeus,ramnit,goz,tinba,corebot,dircrypt
160,banjori,pushdo,kraken,simda,pykspa,conficker,rovnix,ramdo,ramnit,tinba,dircrypt,goz,cryptolocker,corebot,new_goz,zeus,new_goz
161,banjori,rovnix,new_goz,zeus,cryptolocker,ramdo,kraken,pykspa,dircrypt,goz,pushdo,corebot,ramnit,tinba,conficker,simda,conficker
162,banjori,ramdo,rovnix,pushdo,kraken,simda,pykspa,conficker,new_goz,tinba,ramnit,dircrypt,corebot,zeus,cryptolocker,goz,goz
163,banjori,pushdo,kraken,pykspa,conficker,simda,rovnix,tinba,ramnit,ramdo,cryptolocker,goz,dircrypt,corebot,new_goz,zeus,new_goz
164,banjori,zeus,rovnix,ramdo,new_goz,kraken,dircrypt,cryptolocker,corebot,ramnit,conficker,pykspa,goz,tinba,pushdo,simda,pushdo
165,banjori,ramdo,pushdo,rovnix,pykspa,new_goz,kraken,simda,conficker,tinba,corebot,dircrypt,cryptolocker,zeus,ramnit,goz,ramnit
166,ramdo,banjori,rovnix,pushdo,kraken,pykspa,new_goz,simda,dircrypt,ramnit,zeus,conficker,tinba,cryptolocker,corebot,goz,conficker
167,corebot,ramnit,zeus,conficker,banjori,cryptolocker,pushdo,dircrypt,new_goz,kraken,goz,pykspa,ramdo,tinba,simda,rovnix,rovnix
168,banjori,pushdo,ramdo,new_goz,rovnix,conficker,kraken,pykspa,corebot,simda,dircrypt,ramnit,goz,tinba,zeus,cryptolocker,dircrypt
169,banjori,ramdo,pushdo,new_goz,kraken,rovnix,ramnit,pykspa,simda,dircrypt,zeus,conficker,corebot,cryptolocker,goz,tinba,tinba
170,banjori,cryptolocker,corebot,new_goz,zeus,goz,conficker,ramnit,pushdo,pykspa,kraken,tinba,rovnix,dircrypt,simda,ramdo,simda
171,banjori,pushdo,kraken,rovnix,simda,pykspa,conficker,ramdo,tinba,dircrypt,ramnit,goz,cryptolocker,new_goz,corebot,zeus,zeus
172,banjori,rovnix,new_goz,goz,zeus,dircrypt,cryptolocker,kraken,conficker,ramnit,pykspa,corebot,pushdo,ramdo,tinba,simda,ramnit
173,banjori,pushdo,rovnix,pykspa,kraken,simda,conficker,new_goz,tinba,ramnit,cryptolocker,goz,dircrypt,corebot,zeus,ramdo,tinba
